repository,mttr_hours,mttr_level
Nxt3/IO_Classic_WatchFace,0.6266666666666667,Elite
ObjectiveTruth/UoitDCLibraryBooking,1133.3579166666666,Low
Onelio/ConnectU,165.93055555555554,Medium
OnlyInAmerica/BART,1005.2011111111112,Low
OpenLauncherTeam/openlauncher,3327.4401215277776,Low
OpenSageTV/sagetv-miniclient,5325.331631944445,Low
OpenSeizureDetector/Android_Pebble_SD,3489.808235596708,Low
OpenStreetMap-Monitoring/OsMoDroid,3852.058259803922,Low
OpsLabJPL/MarsImagesAndroid,250.83277777777775,Low
Ozzyboshi/InternetBeatTimeWatchFace,78.7161111111111,Medium
PGMacDesign/PGMacDesign-Android_RSR_Toolbox,107.71833333333332,Medium
PanicInitiative/PanicButton,1607.131769005848,Low
PaperAirplane-Dev-Team/BlackLight,707.3954248366014,Low
PawelBor/Year-4-Offer,15.268888888888888,High
PhenoApps/Coordinate,8278.48358974359,Low
PhenoApps/Field-Book,2842.81793504902,Low
Piasy/HandyWidgets,144.6425,Medium
PietsmietApp/pietsmiet_android,635.8684259259259,Low
Pixplicity/MultiViewPager,2684.2694444444446,Low
Polidea/react-native-ble-plx,4277.749416563403,Low
PowerInside/syncplayer,197.2280555555556,Low
PrivacyApps/birthday-calendar,3390.469389799636,Low
PrivacyApps/calendar-import-export,7078.920324074074,Low
PrivacyApps/offline-calendar,1317.392916666667,Low
PuffOpenSource/Puff-Android,16.417916666666667,High
Purdue-ACM-SIGAPP/PurdueLaundry-android,5143.160694444445,Low
Pushjet/Pushjet-Android,955.9427777777778,Low
Pushwoosh/pushwoosh-android-sdk,0.4547222222222222,Elite
QVDev/BlendleSDK,795.3933333333333,Low
Qualeams/Android-Face-Recognition-with-Deep-Learning-Test-Framework,1.0575694444444443,High
QuantumBadger/RedReader,11465.939762796505,Low
Quexten/UlricianumPlanner,42.66419444444445,Medium
QuickBlox/quickblox-android-sdk,7094.002722222223,Low
R-a-dio/R-a-dio-Amazing-Android-App,1.0794444444444444,High
RCasatta/EternityWallAndroid,120.82625,Medium
RSenApps/Commandr-Android,201.72916666666663,Low
RaD/ando-gettext-editor,381.1458641975309,Low
RandoApp/Rando-android,6348.3637407407405,Low
RayBa82/DVBViewerController,2.2711111111111117,High
RefugeRestrooms/refugerestrooms-android,1176.6986111111112,Low
ReyKoxha/nodebb-webview,9634.771111111111,Low
Richard-W/jenastop,0.3541666666666667,Elite
RobinJ1995/DistroHopper,24617.84231481481,Low
RocketChat/Rocket.Chat.Android,1024.6983774038465,Low
Rouji/Hupl,1081.1361111111112,Low
Routelandia/routelandia-android,226.25819444444448,Low
RuralRouteSoftware/ShareToIRC,304.78,Low
SUPERCILEX/Robot-Scouter,1233.6227588383838,Low
SafeSlingerProject/SafeSlinger-Android,1333.61,Low
SandroMachado/openalpr-android,258.21694444444444,Low
SaschaWillems/VulkanCapsViewer,2290.4461666666666,Low
Scaronthesky/UK-Gebaerden_Muensterland,1115.4251724137932,Low
ScreamingHawk/android-slideshow,539.4530017921147,Low
ScreamingHawk/fate-sheets,26.87298611111111,Medium
SeGarVi/PalmaBici,56.14592592592593,Medium
SecUSo/privacy-friendly-dice-game,228.91166666666663,Low
SecUSo/privacy-friendly-pedometer,15379.564670138889,Low
SecUSo/privacy-friendly-qr-scanner,8710.664857357357,Low
SecUSo/privacy-friendly-weather,8045.12318287037,Low
Sensirion/SmartGadget-Android,9338.223055555556,Low
Sigimera/sigimera-android-app,4039.1368055555554,Low
SimenCodes/heads-up,552.078230994152,Low
SimonMarquis/Android-PreferencesManager,472.5963888888889,Low
SimpleMobileTools/Simple-Calculator,8063.021865079365,Low
SimpleMobileTools/Simple-Calendar,3282.9106242312423,Low
SimpleMobileTools/Simple-Camera,11257.944281400964,Low
SimpleMobileTools/Simple-Draw,2716.5294791666665,Low
SimpleMobileTools/Simple-Flashlight,9156.446287878787,Low
SimpleMobileTools/Simple-Gallery,3920.9168254967817,Low
SimpleMobileTools/Simple-Music-Player,4704.754197530864,Low
SimpleMobileTools/Simple-Notes,3508.924698412698,Low
SimplicityApks/ReminderDatePicker,227.1770987654321,Low
Skarafaz/mercury,20180.494444444445,Low
Skylark95/Amazon-App-Notifier,1636.7703888888889,Low
SophieBartmann/Jinawa,2688.0486111111118,Low
SteamGifts/SteamGifts,528.7326328502415,Low
StoDevX/AAO-React-Native,1921.4444907407403,Low
StoryMaker/storymaker,558.6758333333333,Low
SubstanceMobile/GEM,388.6035858585858,Low
Subsurface-divelog/subsurface,2456.4511527035056,Low
SufianBabri/simple-material-library,740.4840277777778,Low
SvenDub/Dashboard,6751.662592592592,Low
TTTDevs/NextCloudBookmarksAndroid,32159.55888888889,Low
TUWien/DocScan,333.1747222222222,Low
TakWolf/CNode-Material-Design,4758.858174603175,Low
Tarostar/QMLGalaxyPortal,23.061666666666667,High
TeMoMuKo/AutoStopRace-Android,2146.7325,Low
Team980/ThunderScout-Android,7654.556666666666,Low
TeamAmaze/AmazeFileManager,5889.387106562137,Low
TekkLabs/memoria-politica,177.5295833333333,Low
TheAndroidMaster/Metronome-Android,15.489999999999998,High
TheFinestArtist/MovingButton,61.842777777777776,Medium
TonicArtos/StickyGridHeaders,9109.423598484847,Low
Tortel/DeployTrack,37.26083333333333,Medium
Tortel/SysLog,184.68027777777772,Low
TrekDev/Xamarin.Android.Skobbler,15.600416666666668,High
TruckMuncher/TruckMuncher-Android,247.2647619047619,Low
TweetMap/TweetMapForAndroid,61.813541666666666,Medium
Tyde/TuCanMobile,5408.055618686869,Low
TylerCarberry/2048-Battles,124.47912037037038,Medium
TyrfingX/TyrLib,1.0325,High
UCSD/campus-mobile,1681.7462906273622,Low
UweTrottmann/wp-display-android,11.203055555555556,High
V2Ray-Android/Actinium,363.350625,Low
VEINHORN/ScrollGalleryView,11151.664583333331,Low
VREMSoftwareDevelopment/WiFiAnalyzer,353.0307437275986,Low
Vavassor/Tusky,3067.4860285285285,Low
Velleman/WFS210-App,24.93138888888889,Medium
Vilbrekin/tinc_gui,461.95509259259256,Low
VisualizeMobile/AKANAndroid,231.67765873015875,Low
Vn0m/Sociadee,736.1888888888889,Low
VoteBrian/smoke-or-fire,158.22791666666666,Medium
VriesDeRick/RoosterwijzigingChecker,87.85622222222221,Medium
WSDOT/wsdot-android-app,1181.6979652777777,Low
Waboodoo/HTTP-Shortcuts,2571.9888639201,Low
Waboodoo/Status-Bar-Tachometer,72.3711111111111,Medium
WebMajstr-/pebble-navigation,64.38638888888889,Medium
Werb/PickPhotoSample,628.5989444444444,Low
WikiJourney/wikijourney_app,2999.7302777777777,Low
Wisebite/wisebite_android,5254.101388888889,Low
Wojtechnology/Sunami,16.507166666666667,High
WycliffeAssociates/translationRecorder,2994.6048148148147,Low
YaleSTC/YalePublic-android,1411.4915277777775,Low
YeomansIII/notiforward-android,1.181111111111111,High
Z3r0byte/Magis,386.0083024691358,Low
Z3r0byte/Magistify,515.4783444444445,Low
ZafraniTechLLC/Companion-For-PUBG-Android,1.468888888888889,High
ZorgeR/datFM,197.38166666666663,Low
aajn88/wakemeapp,87.7975,Medium
aayaffe/SailingRaceCourseManager,6511.872854938271,Low
abhijitparida/bunk,845.5334722222223,Low
abrensch/brouter,8624.5365,Low
ac-pm/Inspeckage,1242.4302777777775,Low
achromaticmetaphor/agram,1814.978055555556,Low
adamsp/DestinyRaidTimers,0.0613888888888888,Elite
adamsp/DreamInTweets,75.87861111111111,Medium
adamsp/wsnz-android,9448.32648148148,Low
adamwg/tracks-android,92.0348148148148,Medium
adithya321/Companion-for-Band,11.0325,High
affogatoman/SchoolParser,65.89611111111111,Medium
agargiulo/gatekeeper-android,305.83972222222224,Low
agersant/polaris-android,3880.185648148148,Low
ahmetkizilay/PhotoStrips,10.25361111111111,High
ahuskano/Sensors-Adventure,0.0205555555555555,Elite
ai212983/android-spinnerwheel,3838.0419444444447,Low
aikuma/aikuma,1933.055,Low
airbnb/lottie-android,1080.0814067739773,Low
ajaykumarkannan/Sense-and-Sanity,446.1721296296296,Low
ajhodges/WifiCallingControls,5054.840520833333,Low
akechi/project-l,1680.8791666666666,Low
akihito104/UdonRoad,1461.757152777778,Low
akshay2000/MonocleGiraffe,31.291944444444443,Medium
akvo/akvo-caddisfly,2525.118263888889,Low
akvo/akvo-rsr-up,5586.862966666667,Low
alaskalinuxuser/app_justnotes,66.15277777777779,Medium
albb0920/LunaTerm,4837.611898148148,Low
alcacoop/it.alcacoop.backgammon,5321.121666666667,Low
aldld/ColourDB,323.13916666666665,Low
alexismp/egress,50.28083333333333,Medium
alexvasilkov/FoldableLayout,23.946944444444444,High
alexvasilkov/GestureViews,3574.390942760943,Low
allegro/fogger,23137.81027777778,Low
allsoft777/MVP-with-Firebase,14.7275,High
alphadev-net/drive-mount,68.88740740740741,Medium
aminb/mathtools,120.29777777777778,Medium
anastr/SpeedView,1823.710162835249,Low
andreiciubotariu/contact-notifier,115.12583333333332,Medium
andremion/Louvre,6954.418680555556,Low
andresoviedo/android-3D-model-viewer,3252.91661231884,Low
andrewromanenco/git.android,463.1743055555555,Low
andreyrd/ListLauncher,2830.2790873015874,Low
andstatus/andstatus,3173.531930555556,Low
andybalaam/rabbit-escape,5183.421279761905,Low
anselm94/Torchie-Android,199.35111111111112,Low
antest1/kcanotify,5009.723995726496,Low
anthonycr/Lightning-Browser,11856.620069444443,Low
anwilli5/coin-collection-android-US,194.58515873015872,Low
anycook/anycook-einkaufszettel-android,3293.638722222222,Low
apotapov/tafl,107.69503267973856,Medium
apotter96/PowerOfGod,436.57166666666666,Low
appteam-nith/Hillffair,81.83796296296296,Medium
aragaer/jtt_android,1768.0253888888888,Low
arcao/Geocaching4Locus,365.0586029411765,Low
areina/elfeed-cljsrn,37033.76944444444,Low
argilo/BusFollower,51.46333333333333,Medium
arhughes/droidchatty,579.3886111111111,Low
arnef/ligatool-hamburg,114.46472222222222,Medium
asafge/NewsBlurPlus,114.99777777777778,Medium
asamm/locus-api,2270.978086419753,Low
ascendedguard/android-kanji-fix,5187.1575,Low
aseba-community/thymio-vpl2,1283.4249603174603,Low
athimel/mh-dla-notifier,1192.475222222222,Low
athimel/zoumtarot,0.0425,Elite
aurasphere/blue-pair,3188.5834444444445,Low
autowp/CANreader,321.35125,Low
auxua/MensaApp,1195.7719444444444,Low
avast/sms-ticket,750.2345370370371,Low
avram/zandy,4072.773663194445,Low
barryoneill/pingly,142.33305555555555,Medium
barterli/barterli_android,0.4752777777777778,Elite
basobu/baolizer-android,2527.3631944444446,Low
bdiegel/android-giftwise,40.820277777777775,Medium
beckhamds/nasa-imagery-fetcher,3879.206388888889,Low
beenotung/music-player,198.25027777777777,Low
begeekmyfriend/yasea,160.88080808080807,Medium
belatrix/AndroidAllStars,477.8202947845805,Low
benstreb/RPGme,156.3376111111111,Medium
