repository,mttr_build_hours
micolous/metrodroid,0.019305555555555555
mikepenz/Android-Iconics,0.15074074074074073
mikepenz/MaterialDrawer,9600.104920634922
miketrewartha/positional,0.031424603174603175
moneymanagerex/android-money-manager-ex,872.7942613636365
mono/SkiaSharp,0.016583333333333332
mpv-android/mpv-android,1889.9219290123458
mtransitapps/mtransit-for-android,996.9341850784502
nelenkov/wwwjdic,5919.771709401709
nguillaumin/osmtracker-android,849.2700326797385
niqdev/ipcam-view,0.043154761904761904
oliexdev/openScale,0.07121212121212121
openforis/collect-mobile,0.01
opengisch/QField,166.84686141580337
panpf/sketch,0.0661111111111111
pennlabs/penn-mobile-android,1.3028201506591337
phw/PicardBarcodeScanner,533.3548148148147
pilot51/voicenotify,2400.026319444444
pocl/pocl,743.4691834540703
premnirmal/StockTicker,309.784023297491
rabid/nzsl-dictionary-android,309.85016129032255
razorpay/razorpay-android-sample-app,47.6175
rei-m/android_hyakuninisshu,0.039
reloZid/android-anuto,9600.066111111111
richardthe3rd/BeerFestApp,0.23994725738396624
richsmith/sexytopo,0.030477777777777777
rm3l/maoni,2215.396623931624
samuelclay/NewsBlur,0.06535310734463277
sangcomz/FishBun,0.13030864197530864
seanoshea/BluePlaquesLondon-Android,0.1373888888888889
simlar/simlar-android,171.0902549283154
sky-map-team/stardroid,258.5969259259259
spacecowboy/NotePad,0.04070175438596491
stefan-niedermann/nextcloud-notes,597.3239610249785
sugnakys/UsbSerialConsole,0.008333333333333333
takke/DataStats,0.04291666666666667
takke/cpustats,0.03013888888888889
tasomaniac/OpenLinkWith,0.0017592592592592592
the-blue-alliance/the-blue-alliance-android,0.04776143790849673
tutao/tutanota,702.7269998645929
ubergeek42/weechat-android,0.09083333333333334
uholeschak/ediabaslib,152.62310993533217
ukanth/afwall,0.05096096096096096
wax911/anitrend-app,2287.4177206177296
wellenvogel/avnav,872.7847222222223
westnordost/StreetComplete,407.4018482528465
wikimedia/apps-android-wikipedia,76.54325381047052
wuan/bo-android,731.595201058201
xbmc/Kore,71.96089947089948
zenorogue/hyperrogue,505.4427266081871
zfdang/zSMTH-Android,2400.047847222222
zoff99/ToxAndroidRefImpl,2342.537633565621
zulip/zulip-mobile,0.2650694444444444
